year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal
1984.0,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men (Olympic)",Einar Ólafsson,96023,ISL,,49.0,False,
1988.0,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men (Olympic)",Einar Ólafsson,96023,ISL,,,False,
1988.0,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men (Olympic)",Einar Ólafsson,96023,ISL,,65.0,False,
1988.0,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men (Olympic)",Einar Ólafsson,96023,ISL,,44.0,False,
1992.0,Winter,Biathlon,"20 kilometres, Men (Olympic)",István Oláh Nelu,96024,HUN,,80.0,False,
1992.0,Winter,Biathlon,Cross Country Skiing (Skiing),István Oláh Nelu,96024,HUN,HUN,,True,
1992.0,Winter,Biathlon,"10 kilometres, Men (Olympic)",István Oláh Nelu,96024,HUN,,100.0,False,
1992.0,Winter,Biathlon,"10/15 kilometres Pursuit, Men (Olympic)",István Oláh Nelu,96024,HUN,,85.0,False,
1988.0,Winter,Figure Skating (Skating),"Singles, Men (Olympic)",Ricardo Olavarrieta,96026,MEX,,27.0,False,
1992.0,Winter,Figure Skating (Skating),"Singles, Men (Olympic)",Ricardo Olavarrieta,96026,MEX,,30.0,False,
1984.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Ed Olczyk,96027,USA,United States,7.0,False,
1956.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Stanisław Olczyk,96028,POL,Poland,8.0,False,
1964.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Stanisław Olczyk,96028,POL,Poland,9.0,False,
1972.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Wally Olds,96029,USA,United States,2.0,False,Silver
1964.0,Winter,Nordic Combined (Skiing),"Individual, Men (Olympic)",Štefan Olekšák,96030,TCH,,13.0,False,
1980.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Adrian Olenici,96031,ROU,Romania,7.0,True,
1956.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Jerzy Olesiak,96032,POL,Poland 1,15.0,False,
1980.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men (Olympic)",Björn Olgeirsson,96033,ISL,,,False,
1980.0,Winter,Alpine Skiing (Skiing),"Slalom, Men (Olympic)",Björn Olgeirsson,96033,ISL,,,False,
1992.0,Winter,Ski Jumping (Skiing),"Large Hill, Team, Men (Olympic)",Rune Olijnyk,96034,NOR,Norway,7.0,False,
1952.0,Winter,Speed Skating (Skating),"500 metres, Men (Olympic)",Ralf Olin,96035,CAN,,30.0,False,
1952.0,Winter,Speed Skating (Skating),"1,500 metres, Men (Olympic)",Ralf Olin,96035,CAN,,29.0,False,
1952.0,Winter,Speed Skating (Skating),"5,000 metres, Men (Olympic)",Ralf Olin,96035,CAN,,25.0,False,
1952.0,Winter,Speed Skating (Skating),"10,000 metres, Men (Olympic)",Ralf Olin,96035,CAN,,21.0,False,
1956.0,Winter,Speed Skating (Skating),"500 metres, Men (Olympic)",Ralf Olin,96035,CAN,,36.0,False,
1956.0,Winter,Speed Skating (Skating),"1,500 metres, Men (Olympic)",Ralf Olin,96035,CAN,,41.0,False,
1956.0,Winter,Speed Skating (Skating),"5,000 metres, Men (Olympic)",Ralf Olin,96035,CAN,,33.0,False,
1956.0,Winter,Speed Skating (Skating),"10,000 metres, Men (Olympic)",Ralf Olin,96035,CAN,,31.0,False,
1960.0,Winter,Speed Skating (Skating),"500 metres, Men (Olympic)",Ralf Olin,96035,CAN,,30.0,True,
1960.0,Winter,Speed Skating (Skating),"1,500 metres, Men (Olympic)",Ralf Olin,96035,CAN,,36.0,False,
1960.0,Winter,Speed Skating (Skating),"5,000 metres, Men (Olympic)",Ralf Olin,96035,CAN,,28.0,False,
1960.0,Winter,Speed Skating (Skating),"10,000 metres, Men (Olympic)",Ralf Olin,96035,CAN,,27.0,False,
1964.0,Winter,Speed Skating (Skating),"500 metres, Men (Olympic)",Ralf Olin,96035,CAN,,39.0,False,
1964.0,Winter,Speed Skating (Skating),"1,500 metres, Men (Olympic)",Ralf Olin,96035,CAN,,37.0,False,
1964.0,Winter,Speed Skating (Skating),"5,000 metres, Men (Olympic)",Ralf Olin,96035,CAN,,25.0,False,
1964.0,Winter,Speed Skating (Skating),"10,000 metres, Men (Olympic)",Ralf Olin,96035,CAN,,15.0,False,
1948.0,Winter,Alpine Skiing (Skiing),"Downhill, Men (Olympic)",Ralph Olinger,96036,SUI,,3.0,True,Bronze
1972.0,Winter,Biathlon,"20 kilometres, Men (Olympic)",Keith Oliver,96037,GBR,,11.0,False,
1972.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men (Olympic)",Keith Oliver,96037,GBR,Great Britain,11.0,False,
1972.0,Winter,Biathlon,Cross Country Skiing (Skiing),Keith Oliver,96037,GBR,GBR,,True,
1972.0,Winter,Biathlon,"30 kilometres, Men (Olympic)",Keith Oliver,96037,GBR,,54.0,False,
1976.0,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men (Olympic)",Keith Oliver,96037,GBR,,68.0,False,
1980.0,Winter,Biathlon,"10 kilometres Sprint, Men (Olympic)",Keith Oliver,96037,GBR,,20.0,False,
1980.0,Winter,Biathlon,"20 kilometres, Men (Olympic)",Keith Oliver,96037,GBR,,16.0,False,
1980.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men (Olympic)",Keith Oliver,96037,GBR,Great Britain,12.0,False,
1976.0,Winter,Alpine Skiing (Skiing),"Downhill, Men (Olympic)",Juan Ángel Olivieri,96038,ARG,,39.0,False,
1976.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men (Olympic)",Juan Ángel Olivieri,96038,ARG,,,False,
1976.0,Winter,Alpine Skiing (Skiing),"Slalom, Men (Olympic)",Juan Ángel Olivieri,96038,ARG,,,False,
1964.0,Winter,Speed Skating (Skating),"500 metres, Men (Olympic)",Bo Ollander,96039,SWE,,27.0,True,
1964.0,Winter,Speed Skating (Skating),"1,500 metres, Men (Olympic)",Bo Ollander,96039,SWE,,28.0,False,
1956.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men (Olympic)",Hans Olofsson,96040,SWE,,,False,
1956.0,Winter,Alpine Skiing (Skiing),"Slalom, Men (Olympic)",Hans Olofsson,96040,SWE,,,False,
1968.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men (Olympic)",Björn Olsen,96041,ISL,,72.0,False,
1968.0,Winter,Alpine Skiing (Skiing),"Slalom, Men (Olympic)",Björn Olsen,96041,ISL,,3.0,False,
1924.0,Winter,Speed Skating (Skating),"500 metres, Men (Olympic)",Oskar Olsen,96042,NOR,,2.0,False,Silver
1924.0,Winter,Speed Skating (Skating),"1,500 metres, Men (Olympic)",Oskar Olsen,96042,NOR,,6.0,False,
1928.0,Winter,Speed Skating (Skating),"500 metres, Men (Olympic)",Oskar Olsen,96042,NOR,,9.0,False,
1956.0,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men (Olympic)",Per Olsen,96043,NOR,,19.0,False,
1956.0,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men (Olympic)",Per Olsen,96043,NOR,Norway,4.0,False,
1964.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Per Skjerwen Olsen,96044,NOR,Norway,10.0,False,
1968.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Per Skjerwen Olsen,96044,NOR,Norway,11.0,False,
1972.0,Winter,Speed Skating (Skating),"5,000 metres, Men (Olympic)",Willy Olsen,96045,NOR,,5.0,False,
1992.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Øystein Olsen,96046,NOR,Norway,9.0,False,
1988.0,Winter,Alpine Skiing (Skiing),"Downhill, Men (Olympic)",Jeff Olson,96047,USA,,28.0,False,
1988.0,Winter,Alpine Skiing (Skiing),"Super G, Men (Olympic)",Jeff Olson,96047,USA,,24.0,True,
1988.0,Winter,Alpine Skiing (Skiing),"Combined, Men (Olympic)",Jeff Olson,96047,USA,,,False,
1992.0,Winter,Alpine Skiing (Skiing),"Super G, Men (Olympic)",Jeff Olson,96047,USA,,13.0,False,
